DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1654.50,17.77,25.20,1.80,72.95,10.41,17.93,0.06
1655.00,20.84,23.91,1.81,75.14,8.78,19.48,0.05
1655.50,22.13,22.18,1.84,78.78,9.12,22.05,0.05
1656.00,18.21,22.52,1.88,81.49,9.43,23.97,0.05
1656.50,14.07,22.27,1.90,81.66,8.96,24.09,0.05
1657.00,13.21,22.20,1.93,79.32,8.61,22.43,0.05
1657.50,14.34,22.57,1.97,76.07,8.73,20.14,0.05
1658.00,15.71,22.33,2.02,73.65,10.40,18.42,0.05
1658.50,17.42,15.64,2.07,72.44,12.31,17.57,0.03
1659.00,19.72,12.08,2.12,72.15,13.69,17.36,0.02
1659.50,22.91,13.43,2.14,72.31,14.59,17.47,0.02
1660.00,26.23,14.71,2.11,72.12,15.06,17.34,0.03
1660.50,29.17,14.45,2.03,71.22,15.30,16.71,0.03
1661.00,33.96,13.80,1.92,70.32,15.33,16.07,0.02
1661.50,38.63,14.00,1.79,70.13,15.33,15.94,0.02
1662.00,38.36,14.81,1.66,70.58,15.33,16.25,0.03
1662.50,32.76,15.78,1.56,71.30,15.33,16.76,0.03
1663.00,25.00,13.39,1.52,71.76,15.33,17.09,0.02
1663.50,20.37,10.75,1.59,71.24,15.24,16.72,0.01
1664.00,18.36,12.15,1.72,69.70,13.87,15.63,0.02
1664.50,15.96,12.98,1.84,68.33,11.83,14.66,0.02
1665.00,14.59,12.30,1.86,68.41,13.08,14.72,0.02
1665.50,16.18,11.91,1.84,69.66,13.86,15.60,0.02
1666.00,18.20,11.91,1.82,70.49,13.93,16.19,0.02
1666.50,17.28,13.01,1.82,70.38,13.91,16.11,0.02
